City,State / Country,Region,Base Single Demand,Base 8 Cut Demand,Base Wing Combo Demand,Wealth,Building Cost,Rent Cost,Demand Variance,Dough Price,Sauce Price,Cheese Price,Wings Price,Dish Pay,Cook Pay,Cashier Pay,Delivery Guy Pay,Manager Pay,General Manager Pay,Pizza Oven Maintenance,Fryer Maintenance,Fridge Maintenance,Robot Maintenance,Tax Rate,Description
Kingston,Jamaica,Caribbean,640,600,435,50,150000,3300,31,0.34,0.78,1.35,13,7.2,9.2,7.2,3.6,13,19,7.4,11,13,31,0.21,Kingston's active food culture and urban density create consistent all-day demand.
Dublin,Ireland,Europe,780,499,390,76,190000,3500,34,0.6,1.2,2,16.5,10,12.5,8.5,4.75,17,25,9,13.5,15.5,37,0.25,Dublin’s booming tech industry and nightlife create consistent customer flow. Costs sit in the mid-high range.
Madrid,Spain,Europe,780,499,390,74,180000,3300,34,0.58,1.15,1.9,16,9.5,11.5,8.5,4.5,16,24,8.5,13,15,36,0.24,"Madrid offers strong midday and evening traffic driven by offices and nightlife. Operating costs sit in the mid range, and customers respond well to consistent quality."
Cairo,Egypt,Africa,824,502,342,35,96500,2400,96,0.11,0.44,0.89,8.5,6.75,8,6,3.5,10,22,16,29,10,33,0.18,"Cairo blends ancient history with modern growth, creating consistent foot traffic for affordable meals. Operating costs stay low across supplies, wages, and maintenance, which helps stabilize profit margins. Local customers appreciate straightforward flavors delivered quickly."
Lahore,Pakistan,Asia,640,580,430,36,95000,2200,25,0.09,0.22,0.36,3.8,3.4,4.7,3.1,1.2,5.4,8.5,3.5,7,15.5,17.5,0.12,"Lahore blends tradition with modern growth, sustaining strong group dining demand."
Brussels,Belgium,Europe,770,493,385,75,185000,3500,34,0.6,1.2,1.95,16.5,9.5,12,8.5,4.5,16.5,25,9,13.5,15.5,37,0.25,Brussels benefits from a stable office crowd and international institutions that keep weekdays busy. Costs sit in the mid high range with reliable demand.
Birmingham,UK,Europe,770,493,385,72,180000,3200,34,0.57,1.15,1.95,16,9.75,12,8.5,4.75,16,25,9,13,15.5,36,0.24,Birmingham’s large population and business centers create dependable midday and weekend traffic.
Charlotte,NC,North America,780,490,375,60,165000,2900,36,0.24,0.47,0.83,10.5,10.5,13,10,6.25,17.5,28,9.5,10.5,13.5,27,0.17,"Charlotte’s rapid population growth boosts food traffic, with operating costs still more affordable than many major metros."
Medina,Saudi Arabia,Middle East,705,525,405,83,245000,6300,37,0.7,1.32,2.45,22,12.75,10.75,15,16,57,76,12,17,19,54,0.09,Medina’s religious tourism brings predictable waves of customers with mid-high operating costs.
St Petersburg,Russia,Europe,760,486,380,66,170000,3000,33,0.5,1,1.75,14.5,8.5,10.5,7.5,4,14,22,8,12,14,32,0.2,St Petersburg’s large population and historic districts keep steady food demand. Operating costs remain mid-range with predictable wages.
Freeport,Bahamas,Caribbean,620,580,420,55,150000,3400,33,0.36,0.8,1.38,13.2,7.6,9.4,7.4,3.8,13,19.5,7.5,11.4,13.4,32,0.22,Freeport offers strong tourist-driven demand with slightly lower costs than Nassau.
Montreal,Canada,North America,760,485,375,72,185000,3000,34,0.65,1.18,1.95,17.5,16,8,11,14,40,54,9,13,14,43,0.21,"Montreal’s blend of European influence and modern culture keeps food interest high. Operating costs are moderate, though ingredient imports raise supply prices slightly."
Havana,Cuba,Caribbean,620,580,420,48,140000,3100,30,0.32,0.75,1.3,12.5,7,9,7,3.5,12.5,18,7.2,10.8,12.5,30,0.2,"Havana's strong tourism base creates steady demand, though ingredient imports raise supply costs."
Islamabad,Pakistan,Asia,625,575,415,35,90000,2100,23,0.08,0.21,0.35,3.7,3.35,4.6,3.05,1.15,5.3,8.1,3.3,6.7,15,17,0.12,Islamabad's government and business sectors provide reliable daily demand.
Manama,Bahrain,Middle East,690,515,400,78,200000,4800,34,0.6,1.2,2.1,18.5,11.5,10,13.5,14.5,50,65,10.5,15.5,17.5,47,0.1,Manama provides reliable business and leisure traffic with manageable expenses.
Jeddah,Saudi Arabia,Middle East,690,515,400,82,240000,6000,36,0.68,1.3,2.4,21,12.5,10.5,14.5,15.5,55,75,11.5,17,18.5,52,0.09,"Jeddah benefits from coastal tourism and strong local spending power, offering consistent daily demand."
Salt Lake City,UT,North America,760,480,365,58,160000,2800,35,0.23,0.46,0.84,10.5,10.25,13,10,6.25,17.5,28,9.5,10,13.5,27,0.17,Salt Lake City’s growing tech corridor boosts wages and demand. Costs remain moderate and operations are predictable.
Minneapolis,MN,North America,760,470,365,62,160000,2900,39,0.25,0.47,0.84,11,10.5,13,10,6.5,18,29,10,10.5,14,28,0.19,"Minneapolis offers stable year-round demand driven by a mix of office workers and families. Operating costs are reasonable, though winters can slightly reduce foot traffic."
Luanda,Angola,Africa,760,480,350,40,90000,2300,28,0.13,0.48,0.9,8.75,7,8.25,6.5,3.5,10.5,23,16,29,10.5,33.5,0.19,"Luanda’s rapidly developing economy increases both demand and operating costs, while customer spending power remains strong in central areas."
Bogota,Colombia,South America,635,545,410,46,74000,1950,28,0.41,0.8,1.48,12,11.5,6.25,8,8.75,29,40,7,9.5,11,31,0.16,Bogotá’s dense urban layout and large population create strong potential for consistent sales. Operating costs stay mid-range.
Glasgow,UK,Europe,740,474,370,70,175000,3100,33,0.55,1.12,1.9,15.5,9.5,11.5,8,4.5,15.5,24,8.5,12.5,14.5,35,0.23,"Glasgow offers strong demand from students and commuters, with reasonable rent and wages."
Sydney,Australia,Oceania,719,493,370,80,210000,4300,34,0.7,1.3,2.4,21,10,12,9,4,16,25,9.5,13.5,15,47,0.23,"Sydney's coastal setting and active downtown create strong foot traffic for quick service food. Costs across the board run high, from building space to fresh ingredients, and staffing requires competitive pay. The city rewards quality and reliability with loyal customers."
Sao Paulo,Brazil,South America,618,536,413,40,80000,2000,27,0.48,0.9,1.6,13.5,13,6.5,8,9.5,30,43,7,10,11,32,0.17,Sao Paulo's immense population means consistent demand even in quieter districts. Ingredient prices stay moderate while rent and wages remain relatively manageable for newcomers. The city rewards efficient operations and affordable menus.
Pittsburgh,PA,North America,866,186,514,60,140000,2800,80,0.25,0.45,1.25,8.75,10,12,9,4,16,25,27,34,19.5,47,0.2,"Pittsburgh has steady demand for classic comfort food, driven by a mix of students, tech workers, and long time locals. Rent and wages sit in a comfortable middle range, so running a shop here feels manageable without being too cheap. The city's many neighborhoods each bring their own loyal customer base."
Athens,Greece,Europe,730,467,365,70,178000,3100,33,0.54,1.08,1.85,15.5,8.75,10.75,7.75,4.25,15,23,8.5,12.5,14.5,34,0.23,"Athens combines tourism driven peaks with steady local demand around neighborhoods. Ingredient costs vary seasonally, but rent and wages stay moderate."
Prague,Czech Republic,Europe,720,461,360,68,175000,3000,32,0.52,1.05,1.8,15,8.5,10.5,7.5,4,14.5,22,8,12,14,33,0.22,"Prague's historic center attracts constant tourism, while outer districts provide steady local demand. Costs remain lower than in western capitals, aiding margins."
Reykjavik,Iceland,Europe,720,461,360,84,210000,4400,37,0.7,1.3,2.25,20,11,14,10,5.5,19,28,10.5,17,19,44,0.29,"Reykjavik’s tourism-driven economy boosts demand, but remote sourcing increases ingredient costs."
Valencia,Spain,Europe,720,461,360,68,178000,3000,32,0.53,1.08,1.85,15.5,8.75,10.75,7.75,4.25,15,23,8.5,12.5,14.5,34,0.23,Valencia’s coastal tourism and strong local food culture encourage steady daily sales with moderate operating costs.
Edmonton,Canada,North America,720,460,360,70,175000,2800,32,0.62,1.15,1.9,16.5,14.5,8,10.5,13.5,38,52,9,12,13.5,42,0.2,"Edmonton offers steady foot traffic year-round, with slightly higher ingredient costs due to regional supply constraints."
Cleveland,OH,North America,720,455,350,53,140000,2500,33,0.21,0.43,0.78,9.75,9,12,9,5.5,16,26,9,9,12,25,0.15,Cleveland’s stable but modest demand makes it ideal for operators seeking manageable expenses and reliable local customers.
Lima,Peru,South America,610,520,395,42,70000,1850,25,0.39,0.78,1.42,11.5,11,6,7.5,8.25,27,38,6.5,9,10,29,0.15,Lima blends strong culinary tradition with growing modern districts. Costs are manageable and demand is reliable across neighborhoods.
Johannesburg,South Africa,Africa,740,452,330,38,95000,2400,28,0.12,0.46,0.89,8.75,6.8,8,6.2,3.5,10,22,16,29,10,33,0.18,"Johannesburg's strong economic hubs create consistent demand, with moderate wages and supply costs enabling stable operations."
Lisbon,Portugal,Europe,710,454,355,69,176000,3050,32,0.53,1.06,1.82,15,8.5,10.5,7.5,4,14.5,22,8.2,12.2,14.2,33,0.23,"Lisbon's coastal setting and growing tech scene bring a mix of tourists and residents. Operating costs remain mid range, rewarding consistent quality and service."
Portland,OR,North America,720,445,345,58,155000,2800,37,0.23,0.46,0.82,10.5,10,12,9.5,6,17,28,9.5,10,13,27,0.18,Portland’s creative culture supports unique food concepts while keeping prices accessible. Moderate rent and wages help small operators thrive despite competitive neighborhoods.
Warsaw,Poland,Europe,700,448,350,66,170000,2900,31,0.5,1.02,1.75,14.5,8,10,7.25,3.75,14,21,7.5,11.5,13.5,32,0.21,"Warsaw's growing business districts and residential areas create reliable demand. Rent and wages are affordable, supporting new operators."
Kazan,Russia,Europe,700,448,350,62,165000,2800,32,0.48,0.95,1.7,14,8,10,7.25,3.75,13.5,21,7.5,11.5,13,31,0.19,Kazan’s growing population and university influence sustain reliable demand with moderate expenses.
Muscat,Oman,Middle East,645,480,370,70,180000,4200,32,0.55,1.12,2,17.5,11,9.5,13,14,47,62,10,15,17,45,0.11,Muscat’s balanced economy and steady tourism create healthy demand with mid-range operating costs.
Nairobi,Kenya,Africa,720,440,320,32,80000,2000,25,0.11,0.44,0.85,8.5,6.5,7.75,6,3.25,9.5,21,15,27,9.5,31,0.17,Nairobi’s expanding tech and business districts create growing demand. Costs remain accessible with strong lunchtime surges.
Budapest,Hungary,Europe,690,442,345,64,168000,2800,31,0.48,0.98,1.7,14,7.75,9.75,7,3.75,13.5,21,7.5,11.5,13,31,0.21,"Budapest's mix of students, tourism, and offices keeps demand steady at value friendly price points. Operating costs stay on the lower side for Europe."
Ottawa,Canada,North America,690,445,340,65,170000,2700,32,0.6,1.15,1.85,16,14,7.5,10,13,37,50,8.5,12,13,40,0.2,"Ottawa’s government and tech sectors generate consistent weekday demand. Costs remain stable across rent, labor, and ingredients, making it a balanced market for operators."
Casablanca,Morocco,Africa,710,440,325,36,82000,2100,27,0.12,0.46,0.86,8.5,6.75,7.75,6.25,3.25,10,22,15.5,28,10,32,0.18,Casablanca’s economic leadership in Morocco drives strong weekday demand with rising but still moderate costs.
Mexico City,Mexico,North America,659,468,341,45,90000,2200,35,0.45,0.85,1.5,13,10,12,9,4,16,25,6,9,10,21,0.16,"Mexico City blends tradition and modern energy, creating a reliable demand for affordable menu items. Rent and supply costs stay fairly reasonable, which helps small restaurants thrive even in busy districts. Labor is competitive but still accessible for new owners."
Santiago de Cuba,Cuba,Caribbean,560,520,385,45,120000,2700,28,0.3,0.7,1.25,12,6.8,8.7,6.8,3.3,12,17.2,6.9,10.4,12,28,0.19,Santiago offers reliable local demand and seasonal increases from visiting travelers.
Rio de Janeiro,Brazil,South America,575,500,385,48,85000,2100,29,0.46,0.88,1.58,13,12.5,6.5,8.5,9.5,31,44,7.5,10,11.5,33,0.17,"Rio’s massive tourism flow and active nightlife boost consistent demand. Rent and wages stay moderate, while ingredient costs fluctuate slightly by season."
Medellin,Colombia,South America,580,500,380,40,68000,1750,24,0.37,0.75,1.38,11,10.75,6,7.25,8,26,37,6.25,8.5,9.75,28,0.15,Medellín’s booming tech and tourism industries increase demand while keeping labor affordable.
Kansas City,MO,North America,690,435,335,55,150000,2600,34,0.22,0.44,0.8,10,9.5,12,9,5.75,16,26,9,9.5,12.5,26,0.16,Kansas City’s central location and strong local loyalty support consistent demand. Low rent and wages create great margins for smaller operators.
Cape Town,South Africa,Africa,710,432,315,40,100000,2500,29,0.13,0.48,0.92,9,7,8.25,6.5,3.75,11,23,16.5,30,11,34,0.19,Cape Town’s tourism and coastal districts support steady daily demand. Costs trend slightly higher but remain manageable for most operators.
Quebec City,Canada,North America,680,435,340,68,170000,2600,31,0.6,1.13,1.88,16,14,7.75,10.5,13,36,50,9,12,13.25,41,0.2,"Quebec City’s tourism and historic districts create consistent demand. Operating costs stay moderate, and customers appreciate traditional flavors."
Montevideo,Uruguay,South America,565,495,375,53,88000,2200,28,0.47,0.88,1.52,12.75,12.5,6.5,8.25,9.5,30,43,7.25,10,11.5,32,0.17,Montevideo’s calm but affluent environment results in steady mid-range demand. Costs are moderate and competition is manageable.
Dar es Salaam,Tanzania,Africa,690,430,310,30,74000,1800,24,0.1,0.41,0.78,7.75,6,7.25,5.5,2.75,8.75,19.5,14,25,9,29,0.16,Dar es Salaam's coastal growth and business development drive consistent demand with minimal overhead.
Port-au-Prince,Haiti,Caribbean,540,505,370,35,90000,1800,22,0.24,0.55,0.95,10.5,6,7.5,5.8,2.8,10,15,6.3,9.2,10.8,25,0.16,Port-au-Prince offers accessible operations with moderate baseline demand and low wages.
Tunis,Tunisia,Africa,670,430,315,34,78000,1900,26,0.12,0.44,0.82,8.25,6.5,7.5,6,3.25,9.5,21,15,27,9.5,31,0.17,"Tunis blends tourism and local commerce, offering stable demand at manageable operating costs."
Paris,France,Europe,673,434,304,82,190000,5100,40,0.15,0.6,0.89,11,5.25,7,6,2.25,11,17,12,18,20,35,0.29,"Paris combines rich cultural history with a refined taste for food, creating a stable market for well crafted dishes. Higher wages and elevated ingredient prices push operating costs upward, especially in central districts. Customers value consistency and presentation."
Marrakesh,Morocco,Africa,680,420,310,35,78000,2000,26,0.11,0.43,0.84,8.25,6.5,7.5,6,3.25,9.5,21,15,27,9.5,31,0.17,"Heavy tourism boosts demand cycles in Marrakesh, while operational expenses remain firmly mid tier."
Port Moresby,Papua New Guinea,Oceania,540,495,370,42,120000,2500,23,0.35,0.75,1.25,13,7.4,8.7,6.3,2.7,11.5,17.5,7.2,10.5,11.8,29,0.18,Port Moresby balances growing commercial activity with comparatively low ingredients and labor costs.
Winnipeg,Canada,North America,655,420,325,63,160000,2400,30,0.58,1.1,1.82,15,13.5,7.5,10,12.5,35,48,8.5,11,12.5,40,0.19,"Winnipeg’s modest wages and rent help maintain strong margins, while winter seasonality slightly affects demand."
Accra,Ghana,Africa,680,420,300,33,78000,1900,25,0.11,0.44,0.82,8,6.25,7.25,5.75,3,9,20,14.5,26,9,30,0.17,Accra’s rapidly developing districts produce consistent demand with affordable wages and predictable supply pricing.
Baghdad,Iraq,Middle East,605,455,340,50,115000,2700,29,0.33,0.78,1.35,13,8.5,7.75,9.25,10,31,43,8.25,14.25,15,33,0.15,"Baghdad’s large population creates reliable demand for affordable meals, with manageable operating costs."
Addis Ababa,Ethiopia,Africa,670,420,305,31,72000,1800,24,0.11,0.42,0.8,7.75,6.1,7,5.5,2.9,8.9,20,14.5,25.5,9,29,0.17,Addis Ababa’s developing economy and dense layout help generate consistent foot traffic with modest wage expectations.
Abidjan,Ivory Coast,Africa,665,420,310,33,75000,1850,25,0.11,0.43,0.8,8,6.5,7.5,6,3.1,9.25,20.5,15,26.5,9.25,30.5,0.17,"Abidjan’s vibrant business districts produce strong demand throughout the day, supported by accessible operating costs."
Salvador,Brazil,South America,540,470,360,44,76000,1950,26,0.42,0.82,1.48,12,11.75,6.25,8,8.75,28,41,6.75,9.25,10.5,30,0.16,"Salvador’s tourism appeal drives seasonal peaks in food traffic, while overall operating costs remain low."
Bucharest,Romania,Europe,640,410,320,60,160000,2600,30,0.45,0.92,1.6,13,7,9,6.5,3.5,12.5,20,7,11,12.5,30,0.2,"Bucharest offers low rent and wage levels, making it attractive for budget focused concepts. Consistent local traffic supports simple, reliable menus."
Kampala,Uganda,Africa,655,410,300,29,70000,1750,23,0.1,0.4,0.75,7.5,5.9,6.8,5.2,2.75,8.5,19.5,14,24.5,8.75,28,0.16,"Kampala's fast growing metropolitan core sustains strong traffic, especially during lunch and early evening hours."
Windhoek,Namibia,Africa,645,410,300,33,77000,1850,25,0.12,0.44,0.82,8.25,6.5,7.5,6,3.25,9.5,21,15,27,9.5,31,0.17,Windhoek’s mix of tourism and local business activity provides a dependable customer base with manageable operating expenses.
Dakar,Senegal,Africa,645,405,300,31,72000,1800,24,0.1,0.41,0.78,7.75,6.25,7.25,5.75,3,9,20,14.5,26,9,30,0.16,Dakar’s active port and urban center create reliable demand with reasonable labor and rent.
Durban,South Africa,Africa,655,400,295,35,85000,2100,26,0.1,0.42,0.82,8,6.25,7.5,5.75,3,9,20,14.5,26,9,30,0.17,"Durban's mix of local residents and visitors creates reliable food traffic, while wages and rent stay comfortably low."
Maputo,Mozambique,Africa,640,405,300,30,72000,1750,24,0.11,0.41,0.78,7.75,6.25,7.25,5.75,3,8.75,19.5,14,25.5,9,29.5,0.16,Maputo’s coastal economy boosts weekday food traffic while keeping expenses moderate.
Mombasa,Kenya,Africa,650,400,290,30,75000,1800,24,0.1,0.4,0.78,7.75,6,7.25,5.5,2.75,8.5,19,14,25,9,29,0.16,Mombasa’s port city economy brings varied customer traffic and stable weekly demand. Operating costs are notably low.
Beirut,Lebanon,Middle East,580,435,325,52,105000,2500,27,0.3,0.72,1.28,12,8,7.25,8.75,9.5,29,41,7.5,13.5,14,31,0.17,"Beirut’s strong food culture maintains solid demand, though economic volatility keeps costs flexible."
Suva,Fiji,Oceania,510,470,355,45,110000,2300,22,0.32,0.7,1.2,12.5,7,8.5,6,2.5,11,17,7,10,11,28,0.17,Suva’s tourism and local markets support strong seasonal demand with low labor costs.
Brasilia,Brazil,South America,520,455,350,52,90000,2200,30,0.47,0.9,1.6,13.5,13,6.75,8.75,10,32,45,7.5,10.5,12,34,0.18,Brasília’s government-driven economy keeps demand stable throughout the week. Operating costs are moderate with predictable supply chains.
Cap-Haitien,Haiti,Caribbean,500,470,345,33,85000,1700,21,0.22,0.52,0.9,10.2,5.8,7.2,5.6,2.7,9.7,14.5,6.1,8.9,10.5,24,0.16,Cap-Haitien's local economy supports consistent but modest demand with affordable labor.
Harare,Zimbabwe,Africa,630,395,285,29,70000,1700,23,0.1,0.4,0.75,7.25,6,7,5.5,2.75,8.25,19,14,25,9,29,0.16,Harare’s growing urban districts create steady daily demand with low to moderate operating costs.
Sofia,Bulgaria,Europe,610,390,305,58,155000,2500,30,0.43,0.88,1.55,12.5,6.75,8.75,6.25,3.25,12,19,6.8,10.5,12,29,0.19,"Sofia's fast growing urban core favors affordable, convenient food options. Expenses are low across supplies, space, and labor, ideal for early expansion."
Sfax,Tunisia,Africa,620,395,290,30,73000,1750,24,0.1,0.4,0.75,7.5,6,7,5.5,2.75,8.25,19.25,14,25,9,29,0.16,Sfax’s industrial and residential mix keeps customer flow steady with well controlled expenses.
Amman,Jordan,Middle East,560,420,315,55,110000,2600,28,0.32,0.75,1.3,12.5,8.25,7.5,9,9.75,30,42,8,14,15,32,0.16,Amman’s diverse economy supports consistent but price-sensitive demand with relatively low costs.
Kumasi,Ghana,Africa,625,385,280,29,70000,1700,23,0.09,0.38,0.72,7.25,5.5,6.75,5.25,2.5,8,18,13,24,8.5,28,0.15,"Kumasi’s strong market culture supports reliable local business. Costs stay low across wages and rent, ideal for early expansion."
Lusaka,Zambia,Africa,615,385,280,28,68000,1650,23,0.1,0.38,0.72,7,5.75,6.75,5.25,2.5,8,18.5,13.5,24.5,8.75,28.5,0.15,Lusaka’s expanding commercial areas and population growth support reliable mid-level demand.
Zanzibar,Tanzania,Africa,615,380,280,28,68000,1650,22,0.09,0.37,0.7,7,5.5,6.5,5,2.5,7.75,18.5,13.5,23,8.5,27,0.15,"Zanzibar’s tourism peaks create high weekend demand, while routine operating expenses remain among the lowest in the region."
Belo Horizonte,Brazil,South America,495,435,335,45,78000,2000,27,0.44,0.85,1.5,12.5,12,6.25,8,9,29,42,7,9.5,11,31,0.16,Belo Horizonte’s strong local food culture creates reliable daily demand. Rent and wages remain accessible for new operators.
Gaborone,Botswana,Africa,600,380,275,31,75000,1800,24,0.12,0.43,0.8,8,6.4,7.4,5.9,3.1,9.25,20.5,14.5,26,9.25,30.5,0.17,"Gaborone offers stable, predictable demand supported by strong economic development and low labor costs."
Quito,Ecuador,South America,495,430,330,38,65000,1700,23,0.36,0.72,1.32,10.5,10.25,5.75,7,7.5,25,36,6,8,9.5,27,0.14,Quito’s mix of historic districts and commercial areas brings steady foot traffic. Costs are low and predictable.
Cork,Ireland,Europe,581,419,255,65,190000,2700,50,0.55,1.19,1.5,14.5,6.25,8,5,4.5,11,24,40,20,18,30,0.24,Cork combines traditional charm with a modern food scene that draws steady local interest. Rent and staffing costs remain moderate while ingredient prices run slightly higher due to imports. Customers tend to favor familiar items with consistent quality.
Khartoum,Sudan,Africa,610,375,270,27,65000,1700,22,0.09,0.36,0.7,7,5.5,6.5,5,2.5,7.5,17.5,13,23.5,8.5,27,0.15,Khartoum’s central business areas help maintain a predictable customer base with inexpensive labor and rent levels.
Apia,Samoa,Oceania,465,430,325,40,95000,2000,20,0.28,0.6,1.12,11.5,6.6,8,5.6,2.3,10.2,15.8,6.7,9.3,10,26,0.16,Apia offers affordable operations with modest but consistent demand driven by local community hubs.
Johor Darfur,Sudan,Africa,590,360,260,26,62000,1600,21,0.08,0.34,0.65,6.75,5.25,6.25,4.75,2.25,7,16.5,12.5,22,8,26,0.14,"Local demand in Darfur stays stable with extremely low operating expenses, ideal for boots on the ground growth strategies."
Mumbai,India,Asia,384,485,230,30,60000,1600,25,0.4,0.75,1.25,11,10,12,9,4,16,25,4.5,7.5,8.5,29,0.12,"Mumbai operates at a fast rhythm and favors value friendly restaurants with accessible pricing. Wages remain low compared to global markets, and supply costs stay manageable for most shops. Space is limited, but the demand density makes up for it."
Helena,MT,North America,438,356,219,55,70000,1500,28,0.29,0.55,0.89,9.99,11,13,9.5,7.25,19,32,11,9,10,42,0.18,"Helena's small town atmosphere creates reliable but modest demand throughout the week. Wages and rent stay comfortably low, and wings are exceptionally inexpensive due to easy local sourcing. The slower pace gives operators room to plan and refine their menu."